Tag,Ort,Aktive F„lle,Gesamt,7-Tage-Inzidenz
2021-01-15,Aachen,955,15745,96
2021-01-08,Aachen,1413,15211,116
2020-12-18,Aachen,1567,12592,186
2020-12-11,Aachen,1248,11557,142
2020-12-04,Aachen,1020,10764,136
2020-11-27,Aachen,1074,10038,131
2020-11-20,Aachen,1171,9565,159
2020-11-13,Aachen,1430,8211,263
2020-11-06,Aachen,1256,6748,204
2020-10-30,Aachen,1395,5612,238
2020-10-23,Aachen,847,4288,140
2020-10-16,Aachen,509,3509,87
2020-10-09,Aachen,254,3027,39
2020-10-02,Aachen,182,2812,30
2020-09-25,Aachen,124,2643,17
2020-09-18,Aachen,121,2550,22
2020-09-11,Aachen,55,2429,8
2020-09-04,Aachen,46,2384,6
2020-08-28,Aachen,83,2348,12
2020-08-21,Aachen,92,2281,12
2020-08-14,Aachen,83,2212,10
