Kategorie: Alle Kategorien

Woche,corona impfung: (Deutschland)
2020-01-26,0
2020-02-02,0
2020-02-09,0
2020-02-16,0
2020-02-23,2
2020-03-01,2
2020-03-08,6
2020-03-15,6
2020-03-22,6
2020-03-29,4
2020-04-05,3
2020-04-12,4
2020-04-19,4
2020-04-26,4
2020-05-03,6
2020-05-10,3
2020-05-17,2
2020-05-24,2
2020-05-31,2
2020-06-07,2
2020-06-14,1
2020-06-21,1
2020-06-28,1
2020-07-05,1
2020-07-12,2
2020-07-19,1
2020-07-26,1
2020-08-02,3
2020-08-09,3
2020-08-16,2
2020-08-23,2
2020-08-30,2
2020-09-06,3
2020-09-13,1
2020-09-20,2
2020-09-27,3
2020-10-04,2
2020-10-11,3
2020-10-18,4
2020-10-25,3
2020-11-01,3
2020-11-08,8
2020-11-15,7
2020-11-22,11
2020-11-29,14
2020-12-06,22
2020-12-13,37
2020-12-20,52
2020-12-27,100
2021-01-03,74
2021-01-10,85
